플랫폼,프로모션명,할인코드,최소구매금액,할인금액,유효기간,사용조건 및 유의사항\
nAliExpress,K-Venue 봄맞이 세트,AEKP02,₩30000,₩3800,~2026-02-23,K-Venue 상품 적용 가능\
nAliExpress,K-Venue 봄맞이 세트,AEKP04,₩50000,₩6200,~2026-02-23,K-Venue 상품 적용 가능\
nAliExpress,K-Venue 봄맞이 세트,AEKP07,₩80000,₩10000,~2026-02-23,K-Venue 상품 적용 가능\
nAliExpress,K-Venue 봄맞이 세트,AEKP09,₩130000,₩14000,~2026-02-23,K-Venue 상품 적용 가능\
nAliExpress,K-Venue 봄맞이 세트,AEKP15,₩200000,₩22000,~2026-02-23,K-Venue 상품 적용 가능\
nAliExpress,K-Venue 봄맞이 세트,AEKP26,₩360000,₩40000,~2026-02-23,K-Venue 상품 적용 가능\
nAliExpress,K-Venue 봄맞이 세트,AEKP34,₩500000,₩50000,~2026-02-23,K-Venue 상품 적용 가능
nAliExpress,K-Venue 봄맞이 세트,AEKP54,₩800000,₩80000,~2026-02-23,K-Venue 상품 적용 가능\
nAliExpress,삼성카드(VISA) 할인,-,$100,$15,2026-02-09 ~ 2026-02-23,삼성 개인 신용카드(VISA 브랜드) 대상 / ID당 2회 제한\nAliExpress,
nAliExpress네이버페이 할인,-,$70,$4,2026-02-09 ~ 2026-02-23,네이버페이 결제 시 적용\
nAliExpress,천원마트 (Choice),-,3개 구매 시,최저 ₩1000,~2026-02-23,3개 이상 구매 시 적용 / 10일 무료 배송
