프로모션 이름,할인코드,할인율,할인금액,최소 구매 금액,유효기간,적용 조건,제외 조건,적용 대상,출처 URL
유니온페이 프리미엄 카드 일본·베트남 상품 할인,2026UPJK_30DC,,USD $30 (약 KRW 43300),USD $100 (약 KRW 144300),2026-04-01 00:59까지,유니온페이 프리미엄 카드 전용 / USD 결제시에만 적용 / 다른 쿠폰과 병행 가능,'나중에 결제' 예약 진행시 적용 불가,일본·베트남 상품,https://www.klook.com/ko/tetris/promo/unionpay_2026/
유니온페이 프리미엄 카드 일본·베트남 외 상품 할인,2026UPJK_25DC,,USD $25 (약 KRW 36100),USD $100 (약 KRW 144300),2026-04-01 00:59까지,유니온페이 프리미엄 카드 전용 / USD 결제시에만 적용 / 다른 쿠폰과 병행 가능 / 잔여 수량 없음,'나중에 결제' 예약 진행시 적용 불가,일본·베트남 외 상품,https://www.klook.com/ko/tetris/promo/unionpay_2026/
토스페이 2월 프로모션 - 12만원 이상 구매,없음,,"KRW 3,000","KRW 120,000",2026년 2월 1일 ~ 2월 28일,토스페이 결제 고객 전용 / 예산 소진 시 조기 종료 가능,부정 사용 시 혜택 철회 가능,전 상품,https://www.klook.com/ko/tetris/promo/tosspay_2026/
토스페이 2월 프로모션 - 25만원 이상 구매,없음,,"KRW 4,000","KRW 250,000",2026년 2월 1일 ~ 2월 28일,토스페이 결제 고객 전용 / 예산 소진 시 조기 종료 가능,부정 사용 시 혜택 철회 가능,전 상품,https://www.klook.com/ko/tetris/promo/tosspay_2026/
토스페이 2월 일본 호텔 할인,없음,15%,"최대 KRW 58,000",미표시,2026년 2월 1일 ~ 2월 28일,토스페이 결제 고객 전용 / 일본 상품 구매시 자동 지급,부정 사용 시 혜택 철회 가능,일본 호텔 상품,https://www.klook.com/ko/tetris/promo/tosspay_2026/
토스페이 2월 일본 어트랙션 할인,없음,10%,미표시,미표시,2026년 2월 1일 ~ 2월 28일,토스페이 결제 고객 전용 / 일본 티켓 구매시 자동 지급,부정 사용 시 혜택 철회 가능,일본 어트랙션 티켓,https://www.klook.com/ko/tetris/promo/tosspay_2026/
KB국민카드 일본 호텔 $15 할인,26국민카드일본호텔15,,"KRW 21,600",USD $15,프로모션 기간 내,KB국민카드 마스터카드 [미화] 결제 고객 대상,법인카드 제외,일본 호텔 상품,https://www.klook.com/ko/tetris/promo/kbjapanhotel26/
KB국민카드 일본 호텔 $40 할인,26국민카드일본호텔40,,"KRW 57,700",USD $40,프로모션 기간 내,KB국민카드 마스터카드 [미화] 결제 고객 대상,법인카드 제외,일본 호텔 상품,https://www.klook.com/ko/tetris/promo/kbjapanhotel26/
KB국민카드 일본 호텔 $70 할인,26국민카드일본호텔70,,"KRW 101,000",USD $70,프로모션 기간 내,KB국민카드 마스터카드 [미화] 결제 고객 대상,법인카드 제외,일본 호텔 상품,https://www.klook.com/ko/tetris/promo/kbjapanhotel26/
KB국민카드 일본 호텔 $200 할인,26국민카드일본호텔200,,"KRW 288,600",USD $200,프로모션 기간 내,KB국민카드 마스터카드 [미화] 결제 고객 대상,법인카드 제외,일본 호텔 상품,https://www.klook.com/ko/tetris/promo/kbjapanhotel26/
신한 Visa 해외 호텔 15% 할인,SHVISALNYALLHOT,15%,최대 USD $100,없음,2026년 2월 6일 ~ 2026년 3월 31일,신한 Visa 신용카드 고객 전용 / USD 결제시에만 적용 / 1계정당 1회,"체크/법인/BC/선불/기프트 카드 제외, 예산 소진 시 조기 종료",해외 호텔 상품,https://www.klook.com/ko/tetris/promo/shinhanvisalny26/
신한 Visa 해외 투어·액티비티·입장권 15% 할인,SHVISALNYALLTAA,15%,최대 USD $100,없음,2026년 2월 6일 ~ 2026년 3월 31일,신한 Visa 신용카드 고객 전용 / USD 결제시에만 적용 / 1계정당 1회 / 잔여 수량 없음,"체크/법인/BC/선불/기프트 카드 제외, 예산 소진 시 조기 종료",해외 투어·액티비티·입장권,https://www.klook.com/ko/tetris/promo/shinhanvisalny26/
신한 Visa 해외 렌트카 15% 할인,SHVISALNYALLCAR,15%,최대 USD $100,없음,2026년 2월 6일 ~ 2026년 3월 31일,신한 Visa 신용카드 고객 전용 / USD 결제시에만 적용 / 1계정당 1회,"체크/법인/BC/선불/기프트 카드 제외, 예산 소진 시 조기 종료",해외 렌트카,https://www.klook.com/ko/tetris/promo/shinhanvisalny26/
신한 Visa 일본 호텔 20% 할인,SHVISALNYJPHOT,20%,최대 USD $200,없음,2026년 2월 6일 ~ 2026년 3월 31일,신한 Visa 신용카드 고객 전용 / USD 결제시에만 적용 / 1계정당 1회 / 잔여 수량 없음,"체크/법인/BC/선불/기프트 카드 제외, 예산 소진 시 조기 종료",일본 호텔 상품,https://www.klook.com/ko/tetris/promo/shinhanvisalny26/
신한 Visa 일본 투어·액티비티·입장권 20% 할인,SHVISALNYJPTAA,20%,최대 USD $200,없음,2026년 2월 6일 ~ 2026년 3월 31일,신한 Visa 신용카드 고객 전용 / USD 결제시에만 적용 / 1계정당 1회,"체크/법인/BC/선불/기프트 카드 제외, 예산 소진 시 조기 종료",일본 투어·액티비티·입장권,https://www.klook.com/ko/tetris/promo/shinhanvisalny26/
신한 Visa 일본 렌트카 20% 할인,SHVISALNYJPCAR,20%,최대 USD $200,없음,2026년 2월 6일 ~ 2026년 3월 31일,신한 Visa 신용카드 고객 전용 / USD 결제시에만 적용 / 1계정당 1회 / 잔여 수량 없음,"체크/법인/BC/선불/기프트 카드 제외, 예산 소진 시 조기 종료",일본 렌트카,https://www.klook.com/ko/tetris/promo/shinhanvisalny26/
KB국민카드 유럽 투어 할인,클룩오픈유럽투어KB26,,USD $25,미표시,2026년 6월 30일까지,KB 국민 마스터카드 [미화] 결제 전용,예산 소진 시 조기 종료,유럽 투어,https://www.klook.com/ko/tetris/promo/kbeupromotion26/
KB국민카드 파리 디즈니랜드 할인,클룩오픈파리디즈니랜드KB26,,"USD $50 (약 KRW 72,200)","USD $200 (약 KRW 288,600)",2026년 6월 30일까지,KB 국민 마스터카드 [미화] 결제 전용,예산 소진 시 조기 종료,파리 디즈니랜드,https://www.klook.com/ko/tetris/promo/kbeupromotion26/
KB국민카드 유럽 3대 아울렛 이동 서비스 할인,클룩오픈아울렛이동KB26,50%,미표시,미표시,2026년 6월 30일까지,KB 국민 마스터카드 [미화] 결제 전용,예산 소진 시 조기 종료,유럽 3대 아울렛 이동 서비스,https://www.klook.com/ko/tetris/promo/kbeupromotion26/
유럽 겨울 투어 + 파리 디즈니랜드 할인,투어사면파리디즈니랜드30%WK13,30%,"KRW 3,000","KRW 100,000",쿠폰 유효기간: 2026년 1월 24일 / 프로모션 기간: 2025년 11월 17일 ~ 2026년 2월 28일,프랑스 투어 예약 시 파리 디즈니랜드 30% 할인 쿠폰 지급,예산 소진 시 조기 종료,프랑스 투어 + 파리 디즈니랜드,https://www.klook.com/ko/tetris/promo/wintereurope25/
유럽 겨울 투어 + 사그라다 파밀리아 1+1,투어사면사그라다파밀리아1+1WK13,,"KRW 3,000 (입장권 1+1)","KRW 100,000",쿠폰 유효기간: 2026년 1월 24일 / 프로모션 기간: 2025년 11월 17일 ~ 2026년 2월 28일,스페인 투어 예약 시 사그라다 파밀리아 입장권 1+1 쿠폰 지급,예산 소진 시 조기 종료,스페인 투어 + 사그라다 파밀리아,https://www.klook.com/ko/tetris/promo/wintereurope25/
유럽 겨울 투어 + 판테온 입장권 1+1,투어사면판테온입장권1+1WK13,,"KRW 3,000 (입장권 1+1)","KRW 100,000",쿠폰 유효기간: 2026년 1월 24일 / 프로모션 기간: 2025년 11월 17일 ~ 2026년 2월 28일,이탈리아 투어 예약 시 판테온 입장권 1+1 쿠폰 지급,예산 소진 시 조기 종료,이탈리아 투어 + 판테온,https://www.klook.com/ko/tetris/promo/wintereurope25/
클룩 먼데이 오사카 호텔 100% 할인,오사카호텔100퍼센트2602KLK,100%,최대 KRW 30000,미표시,2026년 2월 13일 ~ 2월 16일,행운의 주인장 1명 / 선착순 마감 / 전량 수령 한정,예산 소진 시 조기 종료,오사카 호텔,https://www.klook.com/ko/tetris/promo/klookmonday/
